date,open,high,close,low,volume,amount
2016-03-10,2847.567,2863.176,2804.726,2803.476,13897946100,141812410338
2016-03-09,2839.411,2863.015,2862.556,2811.718,18335538300,177072557883
2016-03-08,2895.666,2902.621,2901.387,2802.563,23348266100,220513953726
2016-03-07,2886.64,2911.839,2897.34,2871.346,21746683600,208559323364
2016-03-04,2848.538,2880.372,2874.147,2808.849,31249516900,294982112798
2016-03-03,2847.331,2878.445,2859.758,2840.874,28747821000,279971936075
2016-03-02,2733.767,2852.7,2849.681,2732.539,27096178300,259318766547
2016-03-01,2688.38,2747.562,2733.17,2668.757,18720744300,182185538136
2016-02-29,2754.814,2755.89,2687.979,2638.963,20741070900,194640196395
2016-02-26,2760.058,2784.753,2767.21,2715.874,19111047200,190068987760
2016-02-25,2922.237,2922.237,2741.245,2729.851,27028441600,271767143332
2016-02-24,2889.885,2929.871,2928.896,2872.274,21341038400,227851643590
2016-02-23,2925.708,2928.048,2903.331,2872.282,19974066300,211548952172
2016-02-22,2888.598,2933.964,2927.175,2880.347,23217604200,238682816535
2016-02-19,2854.904,2872.724,2860.021,2840.488,16339141300,178424845383
2016-02-18,2881.777,2893.215,2862.893,2857.699,21920387300,230775052843
2016-02-17,2829.764,2868.701,2867.338,2824.356,21690992500,225964250083
2016-02-16,2758.579,2840.622,2836.571,2758.579,19596161400,198969133397
2016-02-15,2684.961,2760.359,2746.196,2682.09,12926393200,129321056010
2016-02-05,2783.076,2790.061,2763.492,2762.16,14118628400,145553630916
2016-02-04,2751.432,2793.298,2781.023,2751.314,17038201800,175347388383
2016-02-03,2719.574,2746.072,2739.247,2696.884,14839721700,146627121739
2016-02-02,2687.982,2755.159,2749.57,2687.982,15807821100,158936802659
2016-02-01,2730.984,2735.255,2688.854,2655.623,15638374400,152830741554
2016-01-29,2652.854,2755.367,2737.6,2649.791,18667310600,180006812612
2016-01-28,2711.158,2740.536,2655.661,2647.493,17112028000,167357413390
2016-01-27,2756.082,2768.772,2735.558,2638.302,21572204600,207426675004
2016-01-26,2907.718,2911.991,2749.785,2743.839,21083605400,212608150650
2016-01-25,2934.078,2955.783,2938.515,2911.829,15303905700,164023396461
2016-01-22,2911.112,2931.359,2916.562,2851.733,15981073400,170062245380
2016-01-21,2934.391,2998.79,2880.482,2880.085,19167566800,203634572945
2016-01-20,2993.014,3016.283,2976.694,2951.922,21650547400,234562924579
2016-01-19,2914.408,3012.068,3007.739,2906.404,20527970300,222674800351
2016-01-18,2847.539,2945.45,2913.837,2844.704,16469969400,173619962653
2016-01-15,2988.048,3001.708,2900.97,2883.868,19872169700,206603969247
2016-01-14,2874.049,3012.293,3007.649,2867.553,21290564400,218013656655
2016-01-13,3041.107,3059.015,2949.597,2949.29,19428210600,208376044623
2016-01-12,3026.159,3047.664,3022.861,2978.463,20765962200,224135432095
2016-01-11,3131.853,3166.215,3016.704,3016.697,27164369100,286379628143
2016-01-08,3194.625,3235.451,3186.412,3056.878,28644082200,324167135447
2016-01-07,3309.657,3309.657,3125.002,3115.885,7056912300,79981988654
2016-01-06,3291.195,3362.974,3361.84,3288.933,23888667000,285243223391
2016-01-05,3196.651,3328.139,3287.711,3189.605,26688208300,328417226081
2016-01-04,3536.589,3538.689,3296.258,3295.741,18441842300,240929155215
2015-12-31,3570.467,3580.602,3539.182,3538.353,17696365900,254031073828
2015-12-30,3566.731,3573.684,3572.876,3538.112,18788960900,267787665269
2015-12-29,3528.395,3564.171,3563.736,3515.52,18255192300,250938907269
2015-12-28,3635.769,3641.588,3533.779,3533.779,26998327800,369042819409
2015-12-25,3614.054,3635.256,3627.914,3601.738,19845111100,274660042605
2015-12-24,3631.313,3640.221,3612.485,3572.277,22778523200,315421261824
2015-12-23,3653.282,3684.567,3636.089,3633.025,29820179200,419902914560
2015-12-22,3645.99,3652.635,3651.767,3616.87,26117876300,360846042356
2015-12-21,3568.581,3651.056,3642.472,3565.751,29984928000,398316961792
2015-12-18,3574.94,3614.698,3578.964,3568.161,27370790400,365385809920
2015-12-17,3533.628,3583.408,3579.999,3533.628,28385648000,381439606784
2015-12-16,3522.091,3538.689,3516.187,3506.291,19348230400,265288646656
2015-12-15,3518.126,3529.961,3510.354,3496.854,20047134400,276274937856
2015-12-14,3403.507,3521.779,3520.668,3399.28,21537462400,279213539328
2015-12-11,3441.597,3455.548,3434.581,3410.924,18290888000,245076426752
2015-12-10,3469.806,3503.654,3455.495,3446.273,20042752000,279499702272
2015-12-09,3462.583,3495.702,3472.439,3454.879,19569884500,267854865116
2015-12-08,3518.648,3518.648,3470.07,3466.79,22436731200,297821732864
